Year;Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Coverage;Categories;Areas
2023;1;28773;Ca-A Cancer Journal for Clinicians;journal;1542-4863, 0007-9235;John Wiley and Sons Inc;No;No;106,094;Q1;236;43;124;3952;35985;89;387,59;91,91;45,26;5;United States;Northern America;1950-2026;"Hematology (Q1); Oncology (Q1)";Medicine
2023;2;19300156903;Foundations and Trends in Machine Learning;journal;1935-8245, 1935-8237;Now Publishers Inc;No;No;37,044;Q1;45;4;14;1254;1121;14;106,30;313,50;26,32;1;United States;Northern America;2008-2025;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";Computer Science
2023;3;20315;Nature Reviews Molecular Cell Biology;journal;1471-0072, 1471-0080;Nature Research;No;No;35,910;Q1;553;115;336;9927;13597;153;34,59;86,32;30,07;5;United Kingdom;Western Europe;2000-2026;"Cell Biology (Q1); Molecular Biology (Q1)";Biochemistry, Genetics and Molecular Biology
2023;4;29431;Quarterly Journal of Economics;journal;0033-5533, 1531-4650;Oxford University Press;No;No;30,448;Q1;336;48;136;3741;2181;136;10,85;77,94;26,32;48;United Kingdom;Western Europe;1886-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance
2023;5;12464;Nature Reviews Cancer;journal;1474-175X, 1474-1768;Nature Research;No;No;26,837;Q1;548;104;303;10805;11006;161;31,40;103,89;42,54;2;United Kingdom;Western Europe;2001-2026;"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2023;6;18434;Cell;journal;0092-8674, 1097-4172;Elsevier B.V.;No;No;24,342;Q1;956;430;1494;31982;53373;1205;31,15;74,38;40,31;23;United States;Northern America;1974-2026;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1);Biochemistry, Genetics and Molecular Biology
2023;7;20425;Nature Reviews Drug Discovery;journal;1474-1784, 1474-1776;Nature Research;No;No;22,399;Q1;428;235;729;8040;12994;144;19,53;34,21;33,89;20;United Kingdom;Western Europe;2002-2026;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2023;8;22697;American Economic Review;journal;1944-7981, 0002-8282;American Economic Association;No;No;22,344;Q1;399;95;353;6242;4589;351;9,93;65,71;23,79;85;United States;Northern America;1973-1975, 1978-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance
2023;9;21100812243;Nature Reviews Materials;journal;2058-8437;Nature Publishing Group;No;No;21,836;Q1;242;116;334;8684;13649;195;30,99;74,86;26,53;6;United Kingdom;Western Europe;2016-2026;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Energy; Materials Science"
2023;10;17700156734;Nature Reviews Clinical Oncology;journal;1759-4782, 1759-4774;Nature Publishing Group;No;No;21,048;Q1;259;127;400;9888;10891;183;28,57;77,86;39,31;7;United Kingdom;Western Europe;2009-2026;Oncology (Q1);Medicine
